latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Chrysolophus pictus|Goldfasan|Faisán Dorado|Gullfasani|Guldfasan|bažant zlatý|kultafasaani|Fagiano dorato|キンケイ|Goudfazant|Gullfasan|bażant złocisty|Faisão-dourado|Золотой фазан|bažant zlatý|Guldfasan|红腹锦鸡
Chrysolophus amherstiae|Diamantfasan|Faisán de Lady Amherst|Demantsfasani|Amherstfasan|bažant diamantový|platinafasaani|Fagiano di Lady Amherst|ギンケイ|Lady Amherstfazant|Diamantfasan|bazant diamentowy|Faisão de Lady Amherst|Алмазный фазан|bažant diamantový|Diamantfasan|白腹锦鸡
Tetrao urogallus|Auerhuhn|Urogallo Común|Þiður|Tjur|tetřev hlušec|metso|Gallo cedrone|ヨアロッパオオライチョウ|Auerhoen|Storfugl|głuszec|Tetraz|Глухарь|hlucháň hôrny|Tjäder|松鸡
Lyrurus tetrix|Birkhuhn|Gallo-lira Común|Orri|Urfugl|tetřívek obecný|teeri|Fagiano di monte|クロライチョウ|Korhoen|Orrfugl|cietrzew|Galo-lira|Тетерев|tetrov hoľniak|Orre|黑琴鸡
Tetrastes bonasia|Haselhuhn|Grévol Común|Jarpi|Hjerpe|jeřábek lesní|pyy|Francolino di monte|エゾライチョウ|Hazelhoen|Jerpe|jarząbek|Galinha-do-mato|Рябчик|jariabok hôrny|Järpe|花尾榛鸡
Lagopus lagopus|Moorschneehuhn|Lagópodo Común|Dalrjúpa / Lyngrjúpa|Dalrype|bělokur rousný|riekko|Pernice bianca nordica|カラフトライチョウ|Moerassneeuwhoen|Lirype|pardwa mszarna|Lagópode-cinzento|Белая куропатка|snehuľa kapcavá|Dalripa|柳雷鸟
Lagopus muta|Alpenschneehuhn|Lagópodo Alpino|Fjallrjúpa|Fjeldrype|bělokur horský|kiiruna|Pernice bianca delle Alpi|ライチョウ|Alpensneeuwhoen|Fjellrype|pardwa górska|Lagópode-branco|Острохвостый тетерев|snehuľa horská|Fjällripa|岩雷鸟
||||||||||||||||
Gavia stellata|Sterntaucher|Colimbo Chico|Lómur|Rødstrubet Lom|potáplice malá|kaakkuri|Strolaga minore|アビ|Roodkeelduiker|Smålom|nur rdzawoszyi|Mobêlha-pequena|Краснозобая гагара|potáplica malá|Smålom|红喉潜鸟
Gavia arctica|Prachttaucher|Colimbo Ártico|Glitbrúsi|Sortstrubet Lom|potáplice severní|kuikka|Strolaga mezzana|オオハム|Parelduiker|Storlom|nur czarnoszyi|Mobêlha-árctica|Чернозобая гагара|potáplica stredná|Storlom|黑喉潜鸟
Gavia pacifica|Weißnackentaucher|Colimbo del Pacífico||Stillehavslom|potáplice pacifická|tundrakuikka|Strolaga mezzana del Pacifico|シロエリオオハム|Pacifische Parelduiker|Amerikastorlom|nur pacyficzny||Белошейная гагара|potáplica bledotylová|Stillahavslom|太平洋潜鸟
Gavia immer|Eistaucher|Colimbo Grande|Himbrimi|Islom|potáplice lední|amerikanjääkuikka|Strolaga maggiore|ハシグロアビ|Ijsduiker|Islom|lodowiec|Mobêlha-grande|Темноклювая гагара|potáplica veľká|Svartnäbbad islom|普通潜鸟
Gavia adamsii|Gelbschnabeltaucher|Colimbo de Adams|Svalbrúsi|Hvidnæbbet Lom|potáplice žlutozobá|jääkuikka|Strolaga beccogiallo|ハシジロアビ|Geelsnavelduiker|Gulnebblom|nur białodzioby|Mobêlha-de-bico-branco|Белоклювая гагара|potáplica bielozobá|Vitnäbbad islom|黄嘴潜鸟
||||||||||||||||
Tachybaptus ruficollis|Zwergtaucher|Zampullín Común|Dverggoði|Lille Lappedykker|potápka malá|pikku-uikku|Tuffetto|カイツブリ|Dodaars|Dvergdykker|perkozek|Mergulhão-pequeno|Малая поганка|potápka malá|Smådopping|小䴙䴘
Podilymbus podiceps|Bindentaucher|Zampullín Picogrueso|Stúfgoði|Tyknæbbet Lappedykker|potápka americká|paksunokkauikku|Podilimbo|オビハシカイツブリ|Dikbekfuut|Ringnebbdykker|perkoz grubodzioby|Mergulhão-caçador|Каролинская поганка|potápka škvrnitozobá|Tjocknäbbad dopping|斑嘴巨䴙䴘
Podiceps auritus|Ohrentaucher|Zampullín Cuellirrojo|Flórgoði|Nordisk Lappedykker|potápka žlutorohá|mustakurkku-uikku|Svasso cornuto|ミミカイツブリ|Kuifduiker|Horndykker|perkoz rogaty|Mergulhão-de-pescoço-castanho|Красношейная поганка|potápka ušatá|Svarthakedopping|角䴙䴘
Podiceps grisegena|Rothalstaucher|Somormujo Cuellirrojo|Sefgoði|Gråstrubet Lappedykker|potápka rudokrká|härkälintu|Svasso collorosso|アカエリカイツブリ|Roodhalsfuut|Gråstrupedykker|perkoz rdzawoszyi|Mergulhão-de-pescoço-ruivo|Серощёкая поганка|potápka červenokrká|Gråhakedopping|赤颈䴙䴘
Podiceps cristatus|Haubentaucher|Somormujo Lavanco|Toppgoði|Toppet Lappedykker|potápka roháč|silkkiuikku|Svasso maggiore|カンムリカイツブリ|Fuut|Toppdykker|perkoz dwuczuby|Mergulhão-de-crista|Чомга|potápka chochlatá|Skäggdopping|凤头䴙䴘
Podiceps nigricollis|Schwarzhalstaucher|Zampullín Cuellinegro|Stargoði|Sorthalset Lappedykker|potápka černokrká|mustakaulauikku|Svasso piccolo|ハジロカイツブリ|Geoorde Fuut|Svarthalsdykker|zausznik|Mergulhão-de-pescoço-preto|Черношейная поганка|potápka čiernokrká|Svarthalsad dopping|黑颈䴙䴘
||||||||||||||||
Phoenicopterus roseus|Flamingo|Flamenco Común|Flæmingi|Stor Flamingo|plameňák růžový|flamingo|Fenicottero|ベニイロフラミンゴ|Flamingo|Flamingo|flaming różowy|Flamingo-comum|Обыкновенный фламинго|plameniak ružový|Större flamingo|大红鹳
Phoenicopterus minor|Zwergflamingo|Flamenco Enano|Dvergflæmingi|Lille Flamingo|plameňák malý|pikkuflamingo|Fenicottero minore|コフラミンゴ|Kleine Flamingo|Dvergflamingo|flaming mały|Flamingo-pequeno|Малый фламинго|plameniak menší|Mindre flamingo|小红鹳
||||||||||||||||
