latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Oenanthe oenanthe|Steinschmätzer|Collalba Gris|Steindepill|Stenpikker|bělořit šedý|kivitasku|Culbianco olartico|ハシグロヒタキ|Tapuit|Steinskvett|białorzytka|Chasco-cinzento|Каменка|skaliarik sivý|Stenskvätta|穗(即鸟)
Oenanthe finschii|Felsenschmätzer|Collalba de Finsch|Skriðudepill|Hvidrygget Stenpikker|bělořit skalní|valkoselkätasku|Monachella di Finsch|セジロサバクヒタキ|Finsch’ Tapuit|Hvitryggsteinskvett|bialorzytka bialogrzbieta||Черношейная каменка|skaliarik škrapový|Finschstenskvätta|芬氏(即鸟)
Oenanthe moesta|Fahlbürzelschmätzer|Collalba de Lomo Rojo|Klungurdepill|Berberstenpikker|bělořit šedohlavý|laulutasku|Monachella testagrigia|チャゴシサバクヒタキ|Roodstuittapuit|Berbersteinskvett|rudorzytka||Рыжепоясничная каменка|skaliarik sivohlavý|Berberstenskvätta|红腰(即鸟)
Oenanthe pleschanka|Nonnenschmätzer|Collaba Pía|Nunnudepill|Nonnestenpikker|bělořit bělohlavý|nunnatasku|Monachella dorsonero|セグロサバクヒタキ|Bonte Tapuit|Svartstrupesteinskvett|białorzytka pstra|Chasco-de-peito-preto|Каменка-плешанка|skaliarik plešanka|Nunnestenskvätta|斑(即鸟)
Oenanthe cypriaca|Zypernschmätzer|Collalba de Cyprus|Kýpurdepill|Cypernstenpikker|bělořit kyperský|kyproksentasku|Monachella di Cipro|キプリスサバクヒタキ|Cyprustapuit|Kyprossteinskvett|bialorzytka cypryjska|Chasco de Chipre|Кипрская каменка|skaliarik cyperský|Cypernstenskvätta|塞浦路斯(即鸟)
Oenanthe hispanica|Mittelmeerschmätzer|Collalba Rubia|Jörfadepill|Middelhavsstenpikker|bělořit okrový|rusotasku|Monachella|カオグロサバクヒタキ|Westelijke Blonde Tapuit|Middelhavssteinskvett|białorzytka rdzawa|Chasco-ruivo|Чернопегая каменка|skaliarik okrový|Medelhavsstenskvätta|白顶(即鸟)
Oenanthe xanthoprymna|Rostbürzelschmätzer|Collalba de Cola Roja|Klettadepill|Rødhalet Stenpikker|bělořit bělobrvý|punaperätasku|Monachella codarossa|コシアカサバクヒタキ|Westelijke Roodstaarttapuit|Rustgumpsteinskvett|zlotorzytka rdzawosterna||Златогузая каменка|skaliarik žltochvostý|Kurdstenskvätta|红尾(即鸟)
Oenanthe deserti|Wüstenschmätzer|Collalba del Desierto|Auðnadepill|Ørkenstenpikker|bělořit pouštní|aavikkotasku|Monachella del deserto|サバクヒタキ|Woestijntapuit|Ørkensteinskvett|białorzytka pustynna|Chasco-do-deserto|Пустынная каменка|skaliarik púšťový|Ökenstenskvätta|漠(即鸟)
Oenanthe isabellina|Isabellschmätzer|Collalba Isabel|Steppudepill|Isabellastenpikker|bělořit plavý|arotasku|Monachella isabellina|イナバヒタキ|Izabeltapuit|Isabellasteinskvett|białorzytka płowa|Chasco-isabel|Каменка-плясунья|skaliarik plavý|Isabellastenskvätta|沙(即鸟)
||||||||||||||||
Zoothera sibirica|Schieferdrossel|Zorzal de Siberia|Apalþröstur|Sibirisk Drossel|drozd tmavý|siperianrastas|Tordo siberiano|マミジロ|Siberische Lijster|Sibirtrost|drozdoń ciemny|Melro da Sibéria|Сибирский дрозд|drozd tmavý|Sibirisk trast|白眉地鸫
Zoothera dauma|Erddrossel|Zorzal Dorado|Foldþröstur|Gulddrossel|drozd pestrý|suomurastas|Tordo dorato|トラツグミ|Goudlijster|Gulltrost|drozdoń pstry|Tordo-dourado|Пёстрый дрозд|drozd jarabý|Guldtrast|虎斑地鸫
Catharus fuscescens|Wilson-Drossel|Tordo Cachetón|Húmþröstur|Rustrygget Skovdrossel|drozd hnědavý|viitarastas|Tordo usignolo bruno|ビリアチャツグミ|Veery|Viriskogtrost|drozdek brunatny|Tordo-ruivo-americano|Веери|drozd hnedkavý|Rostskogstrast|棕夜鸫
Catharus minimus|Grauwangendrossel|Tordo de Cara Gris|Hlýraþröstur|Gråkindet Skovdrossel|drozd šedolící|tundrarastas|Tordo usignolo minimo|ハイイロチャツグミ|Grijswangdwerglijster|Gråkinnskogtrost|drozdek szarolicy|Sabia-de-cara-cinza|Серощёкий дрозд|drozd sivolíci|Gråkindad skogstrast|灰颊夜鸫
Catharus bicknelli|Bicknelldrossel|Zorzal de Bicknell||Bjergskovdrossel|drozd newfoundlandský|mainenrastas|Tordo di Bicknell|ハイイロチャツグミ|Bicknelllijster|Irokeserskogtrost|drozdek wedrowny||Дрозд Бикнелла|drozd hnedý|Bicknellskogstrast|比氏夜鸫
Catharus ustulatus|Zwergdrossel|Tordo Olivo|Moldþröstur|Olivenskovdrossel|drozd malý|korpirastas|Tordo di Swainson|オリアブチャツグミ|Dwerglijster|Brunkinnskogtrost|drozdek okularowy|Sabia-de-oculos|Дрозд Свэнсона|drozd olivový|Beigekindad skogstrast|斯氏夜鸫
Catharus guttatus|Einsiedlerdrossel|Zorzal de Cola Rojiza|Dulþröstur|Eremitdrossel|drozd rezavoocasý|erakkorastas|Tordo eremita|チャイロコツグミ|Heremietlijster|Eremittskogtrost|drozdek samotny||Дрозд-отшельник|drozd malý|Eremitskogstrast|隐夜鸫
Hylocichla mustelina|Walddrossel|Zorzal Maculado|Trjáþröstur|Plettet Skovdrossel|drozd lesní|täplärastas|Tordo dei boschi americano|モリツグミ|Amerikaanse Boslijster|Flekkskogtrost|drozdek rudy|Tordo-dos-bosques|Древесный дрозд|drozd hrdzavochvostý|Fläckskogstrast|棕林鸫
Turdus unicolor|Einfarbdrossel|Zorzal Unicolor|Fjallþröstur|Grådrossel|drozd severoindický|intianrastas|Tordo di Tickell|ヒマラヤハイイロツグミ|Tickells Lijster|Himalayatrost|drozd sniady||Дрозд Тикела|drozd jednofarebný|Gråtrast|蒂氏鸫
Turdus torquatus|Ringdrossel|Mirlo de Capa Blanca|Mánaþröstur|Ringdrossel|kos horský|sepelrastas|Merlo dal collare|クビワツグミ|Beflijster|Ringtrost|drozd obrożny|Melro-de-peito-branco|Белозобый дрозд|drozd kolohrivec|Ringtrast|环颈鸫
Turdus merula|Amsel|Mirlo Común|Svartþröstur|Solsort|kos černý|mustarastas|Merlo|クロウタドリ|Merel|Svarttrost|kos|Melro-preto|Чёрный дрозд|drozd čierny|Koltrast|乌鸫
Turdus obscurus|Weißbrauendrossel|Zorzal Rojigrís|Gulþröstur|Gråstrubet Drossel|drozd plavý|harmaakurkkurastas|Tordo oscuro|マミチャジナイ|Vale Lijster|Gråstrupetrost|drozd oliwkowy|Tordo-escuro|Тёмный дрозд|drozd olivkastý|Gråhalsad trast|白眉鸫
Turdus pallidus|Fahldrossel|Zorzal Pálido||Amurdrossel|drozd bledý|amurinrastas|Tordo pallido|シロハラ|Bleke Lijster|Blektrost|drozd blady||Бледный дрозд|drozd bledý|Amurtrast|白腹鸫
Turdus atrogularis|Schwarzkehldrossel|Zorzal papinegro|Þorraþröstur|Mørkstrubet Drossel|drozd promenlivý|mustakaularastas|Tordo golanera|ノドグロツグミ|Zwartkeellijster|Svartstrupetrost|drozd czarnogardły|Tordo-preto|Чернозобый дрозд|drozd čiernohrdlý|Svarthalsadtrast|黑颈鸫
Turdus ruficollis|Rotkehldrossel|Zorzal papirojo|Góuþröstur|Rødstrubet Drossel|drozd proměnlivý|punakaularastas|Tordo golarossa|ノドグロツグミ|Roodkeellijster|Taigatrost|drozd rdzawogardły|Tordo-ruivo|Краснозобый дрозд|drozd hnedosivý|Taigatrast|赤颈鸫
Turdus eunomus|Rostflügeldrossel|Zorzal eunomo|Brúnþröstur|Brundrossel|drozd rezavý|ruostesiipirastas|Cesena fosca|ツグミ|Bruine Lijster|Bruntrost|drozd rdzawoskrzydły|Tordo de Naumann|Бурый дрозд|drozd sibírsky|Bruntrast|斑鸫
Turdus naumanni|Naumann-Drossel|Zorzal de Naumann|Roðaþröstur|Rustdrossel|drozd rezavý|ruosterastas|Cesena fosca|ツグミ|Naumanns Lijster|Bruntrost|drozd rdzawy|Tordo de Naumann|Дрозд Науманна|drozd hrdzavý|Bruntrast|斑鸫
Turdus pilaris|Wacholderdrossel|Zorzal Real|Gráþröstur|Sjagger|drozd kvíčala|räkättirastas|Cesena|ノハラツグミ|Kramsvogel|Gråtrost|kwiczoł|Tordo-zornal|Рябинник|drozd čvíkota|Björktrast|田鸫
Turdus iliacus|Rotdrossel|Zorzal de Alas Rojas|Skógarþröstur|Vindrossel|drozd cvrčala|punakylkirastas|Tordo sassello|ワキアカツグミ|Koperwiek|Rødvingetrost|droździk|Tordo-ruivo-comum|Белобровик|drozd červenkavý|Rödvingetrast|白眉歌鸫
Turdus philomelos|Singdrossel|Zorzal Común|Söngþröstur|Sangdrossel|drozd zpěvný|laulurastas|Tordo bottaccio|ウタツグミ|Zanglijster|Måltrost|śpiewak|Tordo-comum|Певчий дрозд|drozd plavý|Taltrast|欧歌鸫
Turdus viscivorus|Misteldrossel|Zorzal Charlo|Mistilþröstur|Misteldrossel|drozd brávník|kulorastas|Tordela|ヤドリギツグミ|Grote Lijster|Duetrost|paszkot|Tordeia|Деряба|drozd trskota|Dubbeltrast|槲鸫
Turdus migratorius|Wanderdrossel|Robín Americano|Farþröstur|Vandredrossel|drozd stěhovavý|punarintarastas|Merlo americano|コマツグミ|Roodborstlijster|Vandretrost|drozd wędrowny|Tordo-americano|Странствующий дрозд|drozd sťahovavý|Vandringstrast|旅鸫
Ixoreus naevius|Halsbanddrossel|Zorzal de Pecho Cinchado|Barrþröstur|Flammedrossel|drozd pruhokřídlý|amerikankirjorastas|Tordo variopinto|ムナオビツグミ|Bonte Lijster|Båndtrost|drozdon zlotogardly||Изменчивый дрозд|drozd obojkový|Sitkatrast|杂色鸫
||||||||||||||||
Dumetella carolinensis|Katzendrossel|Sinsonte Maullador|Kattfugl|Kattedrossel|drozdec černohlavý|naukumatkija|Uccello gatto testanera|ネコマネドリ|Katvogel|Kattespottefugl|przedrzezniacz ciemny||Кошачий пересмешник|drozdec mačací|Grå kattfågel|灰嘲鸫
Mimus polyglottos|Spottdrossel|Sinsonte Común|Hermifugl|Nordlig Spottedrossel|drozdec mnohohlasý|taiturimatkija|Mimo poliglotto|マネシツグミ|Spotlijster|Sangspottefugl|przedrzezniacz pólnocny|Tejo-da-praia|Многоголосый пересмешник|spevák mnohohlasý|Nordlig härmtrast|小嘲鸫
Toxostoma rufum|Rotrücken-Spottdrossel|Cuitlacoche Rojizo|Móskuþrasi|Røddrossel|drozdec hnědý|ruostesirppimatkija|Mimo rossiccio|チャイロツグミモドキ|Rosse Spotlijster|Brunspottefugl|przedrzezniacz rudy||Коричневый кривоклювый пересмешник|drozdec červenkavý|Rödbrun härmtrast|褐弯嘴嘲鸫
||||||||||||||||
Acridotheres cristatellus|Haubenmaina|Miná Crestado||Topmaina|majna chocholatá|riisimaina|Maina crestata cinese|ハッカチョウ|Kuifmaina|Krøllstær|majna czubata||Хохлатая майна|škorec chochlatý|Större tofsmajna|八哥
Sturnia sturnina|Mongolenstar|Estornino Dáurico|Hvítstari|Amurstær|špaček mongolský|mantsuriankottarainen|Storno di Dauria|シベリアムクドリ|Daurische Spreeuw|Mandsjuriastær|szpak mandzurski||Малый скворец|škorec škvrnotylový|Amurstare|北椋鸟
Pastor roseus|Rosenstar|Estornino Rosado|Rósastari|Rosenstær|špaček růžový|punakottarainen|Storno roseo|バライロムクドリ|Roze Spreeuw|Rosenstær|pasterz|Estorinho-rosado|Розовый скворец|pastier ružový|Rosenstare|粉红椋鸟
Sturnus vulgaris|Star|Estornino Pinto|Stari|Stær|špaček obecný|kottarainen|Storno europeo|ホシムクドリ|Spreeuw|Stær|szpak|Estorinho-malhado|Скворец|škorec obyčajný|Stare|紫翅椋鸟
Sturnus unicolor|Einfarbstar|Estornino Negro|Gljástari|Ensfarvet Stær|špaček černý|mustakottarainen|Storno nero|ムジホシムクドリ|Zwarte Spreeuw|Middelhavsstær|szpak jednobarwny|Estorninho-preto|Чёрный скворец|škorec jednofarebný|Svartstare|纯色椋鸟
||||||||||||||||
Prunella collaris|Alpenbraunelle|Acentor Alpino|Urðartítla|Alpejernspurv|pěvuška podhorní|alppirautiainen|Sordone|イワヒバリ|Alpenheggenmus|Alpejernspurv|płochacz halny|Ferreirinha-alpina|Альпийская завирушка|vrchárka červenkavá|Alpjärnsparv|领岩鹨
Prunella montanella|Bergbraunelle|Acentor de Pallas|Fjalltítla|Sibirisk Jernspurv|pěvuška horská|taigarautiainen|Sordone siberiano|ヤマヒバリ|Bergheggenmus|Sibirjernspurv|płochacz syberyjski|Ferreirinha de Pallas|Сибирская завирушка|vrchárka okrová|Sibirisk järnsparv|棕眉山岩鹨
Prunella ocularis|Felsenbraunelle|Acentor de Radde|Halltítla|Kaukasisk Jernspurv|pěvuška skalní|kaspianrautiainen|Sordone di Radde|コアカサスイワヒバリ|Steenheggenmus|Einerjernspurv|plochacz pstry||Пёстрая завирушка|vrchárka skalná|Svartkronad järnsparv|眼斑岩鹨
Prunella atrogularis|Schwarzkehlbraunelle|Acentor de Garganta Negra|Svarðtítla|Sortstrubet Jernspurv|pěvuška černohrdlá|mustakurkkurautiainen|Passera scopaiola golanera|ノドグロイワヒバリ|Zwartkeelheggenmus|Svartstrupejernspurv|plochacz czarnogardly|Ferreirinha-de-garganta-preta|Черногорлая завирушка|vrchárka čiernohrdlá|Svartstrupig järnsparv|黑喉岩鹨
Prunella modularis|Heckenbraunelle|Acentor Común|Runntítla|Jernspurv|pěvuška modrá|rautiainen|Passera scopaiola|ヨアロッパカヤクグリ|Heggenmus|Jernspurv|pokrzywnica|Ferreirinha-comum|Лесная завирушка|vrchárka modrá|Järnsparv|林岩鹨
||||||||||||||||
Motacilla flava|Schafstelze|Lavandera Boyera|Gulerla|Gul Vipstjert|konipas luční|keltavästäräkki|Cutrettola|ツメナガセキレイ|Gele Kwikstaart|Gulerle|pliszka żółta|Alvéola-amarela|Жёлтая трясогузка|trasochvost žltý|Gulärla|黄鹡鸰
Motacilla citreola|Zitronenstelze|Lavandera Cetrina|Mýrerla|Citronvipstjert|konipas citronový|sitruunavästäräkki|Cutrettola testagialla orientale|キガシラセキレイ|Citroenkwikstaart|Sitronerle|pliszka cytrynowa|Alvéola-citrina|Желтоголовая трясогузка|trasochvost žltohlavý|Citronärla|黄头鹡鸰
Motacilla cinerea|Gebirgsstelze|Lavandera Cascadeña|Straumerla|Bjergvipstjert|konipas horský|virtavästäräkki|Ballerina gialla|キセキレイ|Grote Gele Kwikstaart|Vintererle|pliszka górska|Alvéola-cinzenta|Горная трясогузка|trasochvost horský|Forsärla|灰鹡鸰
Motacilla alba|Bachstelze|Lavandera Blanca|Maríuerla|Hvid Vipstjert|konipas bílý|västäräkki|Ballerina bianca|タイリクハクセキレイ|Witte Kwikstaart|Linerle|pliszka siwa|Alvéola-branca|Белая трясогузка|trasochvost biely|Sädesärla|白鹡鸰
Anthus richardi|Spornpieper|Bisbita de Richard||Storpiber|linduška zabajkalská|Isokirvinen|Calandro maggiore|マミジロタヒバリ|Grote Pieper|Tartarpiplerke|świergotek szponiasty||Степной конёк|ľabtuška veľká|Större piplärka|田鹨
Anthus godlewskii|Steppenpieper|Bisbita Estepario|Brumtittlingur|Mongolsk Piber|linduška mongolská|mongoliankirvinen|Calandro di Godlewski|コマミジロタヒバリ|Mongoolse Pieper|Mongolpiplerke|swiergotek stepowy|Petinha-mongol|Конёк Годлевского|ľabtuška Godlewského|Mongolpiplärka|布氏鹨
Anthus campestris|Brachpieper|Bisbita Campestre|Sandtittlingur|Markpiber|linduška úhorní|nummikirvinen|Calandro|ムジタヒバリ|Duinpieper|Markpiplerke|świergotek polny|Petinha-dos-campos|Полевой конёк|ľabtuška poľná|Fältpiplärka|平原鹨
Anthus berthelotii|Kanarenpieper|Bisbita Caminero|Hrauntittlingur|Kanarisk Piber|linduška kanárská|kanariankirvinen|Calandro di Berthelot|カナリアタヒバリ|Berthelots Pieper|Kanaripiplerke|swiergotek kanaryjski|Corre-caminho|Канарский конёк|ľabtuška ostrovná|Kanariepiplärka|伯氏鹨
Anthus pratensis|Wiesenpieper|Bisbita Pratense|Þúfutittlingur|Engpiber|linduška luční|niittykirvinen|Pispola|マキバタヒバリ|Graspieper|Heipiplerke|świergotek łąkowy|Petinha-dos-prados|Луговой конёк|ľabtuška lúčna|Ängspiplärka|草地鹨
Anthus trivialis|Baumpieper|Bisbita Arbóreo|Trjátittlingur|Skovpiber|linduška lesní|metsäkirvinen|Prispolone|ヨアロッパビンズイ|Boompieper|Trepiplerke|świergotek drzewny|Petinha-das-árvores|Лесной конёк|ľabtuška hôrna|Trädpiplärka|林鹨
Anthus hodgsoni|Waldpieper|Bisbita de Hodgson|Skógtittlingur|Tajgapiber|linduška zelená|taigakirvinen|Prispolone indiano|ビンズイ|Siberische Boompieper|Sibirpiplerke|świergotek tajgowy|Petinha-silvestre|Пятнистый конёк|ľabtuška škvrnitá|Sibirisk piplärka|树鹨
Anthus gustavi|Petschorapieper|Bisbita del Pechora|Svarðtittlingur|Tundrapiber|linduška sibiřská|tundrakirvinen|Pispola della Pechora|セジロタヒバリ|Petsjorapieper|Tundrapiplerke|świergotek tundrowy|Petinha de Petchora|Сибирский конёк|ľabtuška bielopása|Tundrapiplärka|北鹨
Anthus cervinus|Rotkehlpieper|Bisbita Gorgirrojo|Torftittlingur|Rødstrubet Piber|linduška rudokrká|lapinkirvinen|Pisploa golarossa|ムネアカタヒバリ|Roodkeelpieper|Lappiplerke|świergotek rdzawogardły|Petinha-de-garganta-ruiva|Краснозобый конёк|ľabtuška červenohrdlá|Rödstrupig piplärka|红喉鹨
Anthus spinoletta|Bergpieper|Bisbita Alpino|Fjalltittlingur|Bjergpiber|linduška horská|vuorikirvinen|Spioncello marino|タヒバリ|Waterpieper|Vannpiplerke|siwerniak|Petinha-ribeirinha|Горный конёк|ľabtuška vrchovská|Vattenpiplärka|水鹨
Anthus petrosus|Strandpieper|Bisbita Costero|Strandtittlingur|Skærpiber|linduška vodní|luotokirvinen|Spioncello montano|ヨアロッパタヒバリ|Oeverpieper|Skjærpiplerke|świergotek nadmorski|Petinha-marítima|Береговой конёк|ľabtuška skalná|Skärpiplärka|石鹨
Anthus rubescens|Pazifikpieper|Bisbita Norteamericano|Heiðatittlingur|Hedepiber|linduška proměnlivá|tuhkakirvinen|Spioncello ventrerossiccio|アメリカタヒバリ|Pacifische Waterpieper|Myrpiplerke|swiergotek bagienny|Petinha-fulva|Американский конёк|ľabtuška okrová|Hedpiplärka|黄腹鹨
||||||||||||||||
Bombycilla garrulus|Seidenschwanz|Ampelis Europeo|Silkitoppa|Silkehale|brkoslav severní|tilhi|Beccofrusone|キレンジャク|Pestvogel|Sidensvans|jemiołuszka|Tagarela-europeu|Свиристель|chochláč severský|Sidensvans|太平鸟
Bombycilla cedrorum|Zedernseidenschwanz|Ampelis Americano|Sedrustoppa|Cedersilkehale|brkoslav americký|amerikantilhi|Beccofrusone dei cedri|ヒメレンジャク|Cederpestvogel|Einersidensvans|jemioluszka cedrowa||Американский свиристель|chochláč americký|Indiansidensvans|雪松太平鸟
||||||||||||||||
Calcarius lapponicus|Spornammer|Escribano Lapón|Sportittlingur|Lapværling|strnad severní|lapinsirkku|Zigolo di Lapponia|ツメナガホオジロ|Ijsgors|Lappspurv|poświerka|Escrevedeira da Lapónia|Лапландский подорожник|ostrohárka severská|Lappsparv|铁爪鹀
Plectrophenax nivalis|Schneeammer|Escribano Nival|Snjótittlingur|Snespurv|sněhule severní|pulmunen|Zigolo delle nevi|ユキホオジロ|Sneeuwgors|Snøspurv|śnieguła|Escrevedeira-das-neves|Пуночка|snehuľka severská|Snösparv|雪鹀
||||||||||||||||
Seiurus aurocapilla|Pieperwaldsänger|Chipe de Tierra|Kollskríkja|Brillevanddrossel|lesňáček oranžovotemenný|tulipääkerttuli|Tordo corona dorata|カマドムシクイ|Ovenvogel|Ovnparula|lasówka zlotoglowa||Золотоголовый дроздовый певун|horárik žltohlavý|Rödkronad piplärksångare|橙顶灶莺
Parkesia motacilla|Stelzenwaldsänger|Chipe de Agua Sureño||Sydlig Vanddrossel|lesňáček velký|purokerttuli|Ballerina del Madagascar|ミナミミズツグミ|Louisianawaterlijster|Strømparula|lasówka potokowa||Белобровый дроздовый певун|horárik potočný|Sydlig piplärksångare|白眉灶莺
Parkesia noveboracensis|Drosselwaldsänger|Chipe de Agua Norteño|Skúraskríkja|Nordlig Vanddrossel|lesňáček olšový|rantakerttuli|Tordo acquaiolo del nord|キタミズツグミ|Noordse Waterlijster|Vannparula|lasówka nadwodna|Mariquita-boreal|Речной певун|horárik ľabtuškovitý|Nordlig piplärksångare|黄眉灶莺
Vermivora cyanoptera|Blauflügel-Waldsänger|Chipe de Alas Azules||Blåvinget Sanger|lesňáček modrokřídlý|kultakerttuli|Beccavermi aliazzurre|アオバネアメリカムシクイ|Blauwvleugelzanger|Blåvingeparula|lasówka niebieskoskrzydla||Сосновая червеедка|horárik modrokrídly|Blåvingad skogssångare|蓝翅虫森莺
Vermivora chrysoptera|Goldflügel-Waldsänger|Chipe de Alas Doradas|Gullskríkja|Gulvinget Sanger|lesňáček zlatokřídlý|kultasiipikerttuli|Beccavermi alidorate|キンバネアメリカムシクイ|Geelvleugelzanger|Gullvingeparula|lasówka zlotoskrzydla||Золотистокрылая червеедка|horárik zlatokrídly|Guldvingad skogssångare|金翅虫森莺
Mniotilta varia|Kletterwaldsänger|Chipe Rayado|Klifurskríkja|Sorthvid Sanger|lesňáček černobílý|kiipijäkerttuli|Parula bianca e nera|シロクロアメリカムシクイ|Bonte Zanger|Klatreparula|pstroszka||Чёрно-белая древесница|horárik strakatý|Svartvit skogssångare|黑白森莺
Oreothlypis peregrina|Brauenwaldsänger|Chipe Peregrino|Ormskríkja|Tennesseesanger|lesňáček olivový|kanadankerttuli|Beccavermi del Tennessee|マミジロアメリカムシクイ|Tennesseezanger|Møllparula|lasówka oliwkowa|Mariquita do Tenesse|Теннесийская древесница|horárik sťahovavý|Tennesseesångare|灰冠虫森莺
Oreothlypis celata|Orangefleck-Waldsänger|Chipe Deslustrado||Orangekronet Sanger|lesňáček oranžovokorunkatý|viherkerttuli|Beccavermi corona arancio|サメズアカアメリカムシクイ|Groene Zanger|Oransjekroneparula|lasówka zielonkawa||Рыжешапочная древесница|horárik hájový|Orangekronad skogssångare|橙冠虫森莺
Oreothlypis ruficapilla|Rubinfleck-Waldsänger|Chipe de Cabeza Gris||Nashvillesanger|lesňáček rezavokorunkatý|harmaapääkerttuli|Beccavermi di Nashville|ズアカアメリカムシクイ|Nashvillezanger|Bjørkeparula|lasówka rudoglowa||Красношапочный пеночковый певун|horárik húštinový|Nashvilleskogssångare|黄喉虫森莺
Geothlypis philadelphia|Graukopf-Waldsänger|Chipe Enlutado||Sørgesanger|lesňáček šedokápý|korpikerttuli|Parula lamentosa|ノドグロアメリカムシクイ|Grijskopzanger|Svartbrystparula|cytrynka czarnopiersna||Сероголовый масковый певун|horárik sivohlavý|Sorgskogssångare|黑胸地莺
Geothlypis trichas|Weidengelbkehlchen|Chipe de Cara Negra|Grímuskríkja|Gulstrube|lesňáček žlutohrdlý|naamiokerttuli|Parula golagialla comune|カオグロアメリカムシクイ|Gewone Maskerzanger|Nordgulstrupe|cytrynka czarnolica|Mariquita-de-mascarilha|Желтогорлый масковый певун|horárik pastvinový|Nordlig gulhake|黄喉地莺
Setophaga citrina|Kapuzen-Waldsänger|Chipe Careto|Hettuskríkja|Hættesanger|lesňáček kápový|huppukerttuli|Parula dal cappuccio|クロズキンアメリカムシクイ|Monnikszanger|Hetteparula|wilsonka zóltolica|Mariquita-de-capuz|Капюшонная вильсония|horárik kuklatý|Kapuschongskogssångare|黑枕威森莺
Setophaga ruticilla|Schnäpperwaldsänger|Chipe Rey Americano|Húmskríkja|Amerikansk Ildstjert|lesňáček lejskovitý|loistokerttuli|Codirosso americano|ハゴロモムシクイ|Amerikaanse Roodstaart|Rødstjertparula|lasówka szkarlatna|Mariquita-de-rabo-vermelho|Американская горихвостка|horárik čierny|Rödstjärtsskogssångare|橙尾鸲莺
Setophaga tigrina|Tigerwaldsänger|Chipe Tigre|Flóaskríkja|Brunkindet Sanger|lesňáček skvrnitý|rusoposkikerttuli|Dendroica di Capo May|ホオアカアメリカムシクイ|Tijgerzanger|Brunkinnparula|lasówka rdzawolica||Тигровый лесной певун|horárik tigrovaný|Brunkindad skogssångare|栗颊林莺
Setophaga cerulea|Pappelwaldsänger|Chipe Cerúleo|Blámaskríkja|Cyanblå Sanger|lesňáček modropláštíkový|latvuskerttuli|Dendroica cerulea|ミズイロアメリカムシクイ|Azuurzanger|Asurparula|lasówka niebieska|Mariquita-azul|Голубой лесной певун|horárik topoľový|Blåvit skogssångare|白喉林莺
Setophaga americana|Meisenwaldsänger|Párula de Pecho Dorado|Fléttuskríkja|Parulasanger|lesňáček lišejníkový|tiaiskerttuli|Parula americana|アサギアメリカムシクイ|Brilparulazanger|Stryparula|lasówka obrozna||Северная древесница|horárik sýkorčí|Messångare|北森莺
Setophaga magnolia|Hemlock-Waldsänger|Chipe de Cola Fajeada|Daggarskríkja|Magnoliesanger|lesňáček severní|magnoliakerttuli|Dendroica magnolia|シロオビアメリカムシクイ|Magnoliazanger|Magnoliaparula|lasówka magnoliowa|Mariquita-de-faces-pretas|Магнолиевая древесница|horárik magnóliový|Magnoliaskogssångare|纹胸林莺
Setophaga castanea|Braunbrust-Waldsänger|Chipe Castaño|Hnotskríkja|Brunbrystet Sanger|lesňáček kaštanovoprsý|rusorintakerttuli|Dendroica pettocastano|クリイロアメリカムシクイ|Kastanjezanger|Kastanjeparula|lasówka kasztanowata||Каштановый лесной певун|horárik smrekový|Brunbröstad skogssångare|栗胸林莺
Setophaga fusca|Fichtenwaldsänger|Chipe de Garganta Anaranjada|Glóskríkja|Ildsanger|lesňáček stromový|tulikurkkukerttuli|Dendroica fosca|キマユアメリカムシクイ|Sparrenzanger|Hemlokkparula|lasówka rudogardla|Mariquita-papo-de-fogo|Еловый лесной певун|horárik jedľovcový|Orangestrupig skogssångare|橙胸林莺
Setophaga petechia|Goldwaldsänger|Chipe Amarillo|Gulskríkja|Gul Sanger|lesňáček žlutý|keltakerttuli|Dendroica gialla|キイロアメリカムシクイ|Gele Zanger|Gulparula|lasówka zlotawa|Mariquita-amarela|Жёлтая древесница|horárik zlatý|Gul skogssångare|黄林莺
Setophaga pensylvanica|Gelbscheitel-Waldsänger|Chipe Pardo-blanco|Skógarskríkja|Brunsidet Sanger|lesňáček žlutotemenný|rusokylkikerttuli|Dendroica fianchicastani|ワキチャアメリカムシクイ|Roestflankzanger|Brunsideparula|lasówka rdzawoboczna||Желтошапочный лесной певун|horárik hnedoboký|Brunsidig skogssångare|栗胁林莺
Setophaga striata|Kappenwaldsänger|Chipe Estriado|Rákaskríkja|Stribet Sanger|lesňáček černohlavý|viirukerttuli|Dendroica striata|ズグロアメリカムシクイ|Zwartkopzanger|Svarthetteparula|lasówka czarnoglowa|Mariquita-de-perna-clara|Пестрогрудый лесной певун|horárik tajgový|Vitkindad skogssångare|白颊林莺
Setophaga caerulescens|Blaurücken-Waldsänger|Chipe Azul y Negro|Bláskríkja|Blå Sanger|lesňáček modrohřbetý|sinikerttuli|Dendroica blu golanera|ノドグロルリアメリカムシクイ|Blauwe Zwartkeelzanger|Blåparula|lasówka granatowa|Felosa-azul-de-garganta-preta|Синеспинный лесной певун|horárik čiernohrdlý|Blåryggad skogssångare|黑喉蓝林莺
