|Latin Name|Greek name|English Name
155|Calidris minuta                   |(Κοινή) Νανοσκαλίδρα              |Little Stint
156|Calidris temminckii               |Σταχτιά Νανοσκαλίδρα             |Temminck's Stint
157|Calidris subminuta                |Σιβηρική Νανοσκαλίδρα     |Long-toed Stint
158|Calidris fuscicollis|Λευκόπυγη Σκαλίδρα         |White-rumped Sandpiper
159|Calidris bairdii                  |Λιβαδοσκαλίδρα         |Baird's Sandpiper
160|Calidris melanotos|Θωρακωτή Σκαλίδρα              |Pectoral Sandpiper
161|Calidris ferruginea               |Δρεπανοσκαλίδρα             |Curlew Sandpiper
162|Calidris maritima                 |Βραχοσκαλίδρα               |Purple Sandpiper
163|Calidris alpina                   |Λασποσκαλίδρα              |Dunlin
164|Limicola falcinellus              |Ραβδοσκαλίδρα         |Broad-billed Sandpiper
165|Philomachus pugnax                |Μαχητής               |Ruff
166|Lymnocryptes minimus              |Κουφομπεκάτσινο             |Jack Snipe
167|Gallinago gallinago               |(Κοινό) Μπεκατσίνι                 |Common Snipe
168|Gallinago media                   |Διπλομπεκάτσινο             |Great Snipe
169|Limnodromus scolopaceus           |Μεγάλος Λιμνόδρομος                 |Long-billed Dowitcher
170|Scolopax rusticola                |(Ευρασιατική) Μπεκάτσα                   |Eurasian Woodcock
171|Limosa limosa                     |(Ευρωπαϊκή) Λιμόζα                  |Black-tailed Godwit
172|Limosa lapponica                  |Θαλασσολιμόζα                  |Bar-tailed Godwit
173|Numenius phaeopus                 |Σιγλίγουρος                |Whimbrel
174|Numenius tenuirostris             |Λεπτομύτα                  |Slender-billed Curlew
175|Numenius arquata                  |(Ευρασιατική) Τουρλίδα                   |Eurasian Curlew
176|Bartramia longicauda|Μπαρτράμια                  |Upland Sandpiper
177|Tringa erythropus                 |Μαυρότρυγγας                |Spotted Redshank
178|Tringa totanus                    |Κοκκινοσκέλης              |Common Redshank
179|Tringa stagnatilis                |Βαλτότρυγγας                |Marsh Sandpiper
180|Tringa nebularia                  |Πρασινοσκέλης               |Common Greenshank
181|Tringa flavipes                   |Μικρός Κιτρινοσκέλης              |Lesser Yellowlegs
182|Tringa ochropus                   |Δασότρυγγας                 |Green Sandpiper
183|Tringa glareola                   |Λασπότρυγγας                |Wood Sandpiper
184|Xenus cinereus                    |Ρωσότρυγγας                 |Terek Sandpiper
185|Actitis hypoleucos                |Ακτίτης               |Common Sandpiper
186|Actitis macularius                 |Κηλιδωτός Ακτίτης  |Spotted Sandpiper
187|Arenaria interpres                |Χαλικοκυλιστής             |Ruddy Turnstone
188|Pharalopus tricolor|Τρίχρωμος Φαλαρόποδας|Wilson's Phalarope
189|Phalaropus lobatus                |Ερυθρόλαιμος Φαλαρόποδας              |Red-necked Phalarope
190|Phalaropus fulicarius             |Κόκκινος Φαλαρόποδας      |Red Phalarope
|Stercorariidae||
191|Stercorarius pomarinus            |Γαλαζόραμφος Ληστόγλαρος                |Pomarine Skua
192|Stercorarius parasiticus          |Γερακοληστόγλαρος                |Arctic Skua
193|Stercorarius longicaudus|Βελονοληστόγλαρος                    |Long-tailed Skua
194|Stercorarius skua                 |Αετοληστόγλαρος            |Great Skua
|Laridae||
195|Larus leucophthalmus              |Λευκόφθαλμος Γλάρος         |White-eyed Gull
196|Larus ichthyaetus                 |Αετόγλαρος                  |Pallas's Gull
197|Larus melanocephalus              |Μαυροκέφαλος Γλάρος         |Mediterranean Gull
198|Larus atricilla                   |Αζτεκόγλαρος                |Laughing Gull
